# curated-glosses.tsv — курований шар глосів (bug-051)
#
# НАЙВИЩИЙ пріоритет: перекриває gloss_display, який синтезує process_glosses.py.
# Потрібен там, де в Macula глоса НЕМАЄ ЗОВСІМ — ні в TSV `gloss`, ні в TSV `english`,
# ні в атрибуті `gloss` у lowfat XML. Перевірено 2026-08-26 для всіх рядків нижче.
#
# ⛔ Автозалив «за найчастішим глосом того самого Strong's» СВІДОМО не робимо:
#    глос контекстний (редакторське правило, bug-049), а модальне значення нестабільне
#    (H6440 «before» — лише 23% вживань). Тільки ручна курація.
#
# Формат (TAB): id <TAB> surface <TAB> gloss <TAB> reason
#   id      — word.id, тобто BOOK|глава|вірш|позиція
#   surface — контрольна копія word.surface. Білд ПАДАЄ на розбіжності: якщо
#             перенумерація зсунула позиції, глос мовчки ліг би на чуже слово.
#
# Стиль — як у решти грецьких глосів Macula: рядкові в середині речення,
# «-» для артикля, який не перекладається, [квадратні] для доданого.

# ── ACT 13:39 — ядро вірша; клаузу «від усього» KJV переносить із 13:38 ─────────────────────────────────────────
ACT|13|39|1	ἐν	in	джерело порожнє в Macula (TSV gloss+english, lowfat XML) — курація 2026-08-26
ACT|13|39|2	τούτῳ	Him	джерело порожнє в Macula (TSV gloss+english, lowfat XML) — курація 2026-08-26
ACT|13|39|3	πᾶς	everyone	джерело порожнє в Macula (TSV gloss+english, lowfat XML) — курація 2026-08-26
ACT|13|39|4	ὁ	-	джерело порожнє в Macula (TSV gloss+english, lowfat XML) — курація 2026-08-26
ACT|13|39|5	πιστεύων	believing	джерело порожнє в Macula (TSV gloss+english, lowfat XML) — курація 2026-08-26
ACT|13|39|6	δικαιοῦται	is justified	джерело порожнє в Macula (TSV gloss+english, lowfat XML) — курація 2026-08-26

# ── MRK 16:99 — КОРОТКЕ закінчення Марка; єдиний оригінал у корпусі, недосяжний із жодного перекладу ─────────────────────────────────────────
MRK|16|99|1	Πάντα	All things	джерело порожнє в Macula (TSV gloss+english, lowfat XML) — курація 2026-08-26
MRK|16|99|2	δὲ	however	джерело порожнє в Macula (TSV gloss+english, lowfat XML) — курація 2026-08-26
MRK|16|99|3	τὰ	-	джерело порожнє в Macula (TSV gloss+english, lowfat XML) — курація 2026-08-26
MRK|16|99|4	παρηγγελμένα	having been commanded	джерело порожнє в Macula (TSV gloss+english, lowfat XML) — курація 2026-08-26
MRK|16|99|5	τοῖς	to those	джерело порожнє в Macula (TSV gloss+english, lowfat XML) — курація 2026-08-26
MRK|16|99|6	περὶ	around	джерело порожнє в Macula (TSV gloss+english, lowfat XML) — курація 2026-08-26
MRK|16|99|7	τὸν	-	джерело порожнє в Macula (TSV gloss+english, lowfat XML) — курація 2026-08-26
MRK|16|99|8	Πέτρον	Peter	джерело порожнє в Macula (TSV gloss+english, lowfat XML) — курація 2026-08-26
MRK|16|99|9	συντόμως	briefly	джерело порожнє в Macula (TSV gloss+english, lowfat XML) — курація 2026-08-26
MRK|16|99|10	ἐξήγγειλαν	they reported	джерело порожнє в Macula (TSV gloss+english, lowfat XML) — курація 2026-08-26
MRK|16|99|11	Μετὰ	After	джерело порожнє в Macula (TSV gloss+english, lowfat XML) — курація 2026-08-26
MRK|16|99|12	δὲ	and	джерело порожнє в Macula (TSV gloss+english, lowfat XML) — курація 2026-08-26
MRK|16|99|13	ταῦτα	these things	джерело порожнє в Macula (TSV gloss+english, lowfat XML) — курація 2026-08-26
MRK|16|99|14	καὶ	also	джерело порожнє в Macula (TSV gloss+english, lowfat XML) — курація 2026-08-26
MRK|16|99|15	αὐτὸς	Himself	джерело порожнє в Macula (TSV gloss+english, lowfat XML) — курація 2026-08-26
MRK|16|99|16	ὁ	-	джерело порожнє в Macula (TSV gloss+english, lowfat XML) — курація 2026-08-26
